SMILE A,SMILE B
[*]OC(C(C1O)O)OC(COC)C1OC(OC(C(C2O)OC3OC(C(C(C3OC)O)OC4OC(C(C(C4OC)O)[*])COC)CO)COC)C2OCC(OC)C,[*]C/C=C/CCC(C/C=C\C[*])C=C
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*]
[*]CC(OC(O[*])=O)C,[*]C(C(O[*])C)=O
COCC1OC(OC2C(CO)OC(O[*])C(OC)C2OC)C(OC)C(O)C1O[*],[*]C(C(CCCCN[*])N)=O
[*]CC([*])Cl,CC(NC1C([C@@H](C(O[C@H]1O[*])CO)O[C@@H]2OC([C@H]([C@@H](C2NC(C)=O)O)[*])CO)O)=O
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[*]C(C(OC1O[*])COC(C)=O)C(O)C1NC(C)=O
[*]CCC(CCCCCC)C[*],OC1C(O[*])C(NC(C)=O)C(OC2C(O)C(O)C([*])OC2C(O)=O)OC1COC(C(C)=C)=O
[*]C(CCCCC(OCCCCO[*])=O)=O,[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C/C=C(C[*])\Cl
[*]CC=CCCC(C#N)[*],[*]C1=CC(C2=NC3=CC(C4=CC=C5N=C([*])NC5=C4)=CC=C3N2)=CC=C1
[*]CC(C)(C(OCCO)=O)[*],[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COC(C)=O)OC1COC(C)=O
[*][C@H]1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@H]([C@@H](O)[C@H](O[C@H]3[C@H](O)[C@H](O)[C@H](O[C@H]4[C@H](O)[C@H](O)[C@H](O[*])O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2COC(C)=O)O)O[C@@H]1CO,[*]CC(O[*])CN=[N+]=[N-]
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,OCC1OC(C(C(C1O[*])O)O)[*]
[*]CC(OC(O[*])=O)C,[*]C/C=C/C[*]
[*]CCN[*],[*]C(C)C(OCC(O[*])=O)=O
O=S(C(C=C1)=CC=C1OC(C=C2)=CC=C2C(C)(C)C(C=C3)=CC=C3O[*])(C4=CC=C([*])C=C4)=O,[*]C(C(OC1O[*])COC(C)=O)C(O)C1NC(C)=O
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[*]OC(CC(OC(CC([*])=O)CC)=O)C
O=C([*])C1=CC=C2C=C(C=CC2=C1)OC(C3=CC=C(C=C3)O[*])=O,[*]CC(C1=CC=CC=C1)C/C=C/C[*]
[*]CC1=CC=C(C(Cl)=C1)C[*],CC(O[*])CC([*])=O
[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,[*]C1=NC2=CC3=C(C=C2O1)OC(C4=CC=C(C=C4)[*])=N3
O=C([*])C1=CC=C(C=C1)OC2=CC=C(C=C2)OC3=CC=C(C=C3)[*],[*]C1=CC(C2=NC3=CC(C4=CC=C5N=C([*])NC5=C4)=CC=C3N2)=CC=C1
[*]CCC(CCCC(CCCC(C[*])C)C)C,O=C(C(OC(C=O)OC1C(C(C(OC1C(O[Na])=O)O[*])O)O)C(C=O)[*])O[Na]
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COCCO)OC1COCCO
O=C(CCCCC(NCCCCCCCCCCN[*])=O)[*],COCC1OC(OC2C(CO)OC(O[*])C(OC)C2OC)C(OC)C(O)C1O[*]
[*]CC=CCCC(C1=CC=CC=C1)[*],O=C(C(OC(C=O)OC1C(C(C(OC1C(O[Na])=O)O[*])O)O)C(C=O)[*])O[Na]
[*]C(C)C[*],[*]OCC1C(C(C(CC1CO)COCC2C(C(C(CC2CO)C[*])O)COCC3C(C(C(C(O3)CO)O)O)COCC4C(C(C(C(O4)C(O)=O)COCC5C(C(C(C(O5)C(O)=O)O)O)O)O)O)O)O
[*]NC(CCC([*])=O)C(O)=O,[*]CC(CC([*])C(O)=O)C(NC(C)C)=O
CC(COC(C(CC(C(C(C(OC(C)C)=O)C1=CC=CC=C1)C(OCC(OC(C2=CC=CC=C2C(O)=O)=O)C)=O)C3=CC=CC=C3)C(C(OC(C)C[*])=O)C4=CC=CC=C4)=O)OC(C5=CC=CC=C5C(O[*])=O)=O,OC1C(O[*])C(C(O[Ca]O2)=O)OC(OC3C(O)C(O)C(OC4C(C(O[Ca]O5)=O)OC(OC6C(O)C(O)C(OC7C(C(O[Ca]O8)=O)OC(OC9C(O)C(O)C([*])OC9C8=O)C(O)C7O)OC6C5=O)C(O)C4O)OC3C2=O)C1O
[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COC(C)=O)OC1COC(C)=O,[*]C/C=C\CCC(C=C)[*]
[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,[*]CCC(CCCCCC)C[*]
OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O,[*]CC([*])CC
[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,[*]C1=CC=C([*])N1
O=S(C(C=C1)=CC=C1OC(C=C2)=CC=C2C(C)(C)C(C=C3)=CC=C3O[*])(C4=CC=C([*])C=C4)=O,[*]CCCC[*]
[*]OCCCOC(C1=CC=C(C([*])=O)C=C1)=O,[*]CC(C(OCC)=O)[*]
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,[*]CCCCO[*]
[*]OCCCCOC(CCC([*])=O)=O,OC1C(C(OC(C1O)OC2C(OC(C(C2O)O)OC3C(C(C(OC3C(OC)=O)OC4C(OC(C(C4O)O)[*])C(O)=O)O)O)C(OC)=O)C(O)=O)O[*]
O=C(C1=CC=C2C=C(C=CC2=C1)C([*])=O)OCCO[*],[*]C1=C2C(OCCO2)=C([*])S1
[*]NCCCCCCCCCCCC([*])=O,[*]CCCC([*])C(OC)=O
O=C(C(C[*])[*])N,[*]OCCCOC(C1=CC=C(C([*])=O)C=C1)=O
OCC1OC(C(C(C1O)O[*])O)OC2C(C(C(OC2COS(=O)(O)=O)[*])NC(C)=O)O,[*]C1=CC(C2=NC3=CC(C4=CC=C5N=C([*])NC5=C4)=CC=C3N2)=CC=C1
[*]C/C=C/C[*],OC1C(OC(C(C1O)O)C[*])COCC(OC(C(O)C=O)CO[*])C=O
OC1C(C(OC(C1O)OC2C(OC(C(C2O)O)OC3C(C(C(OC3C(OC)=O)OC4C(OC(C(C4O)O)[*])C(O)=O)O)O)C(OC)=O)C(O)=O)O[*],[*]CC([*])(C)C(OCC[N+](C)(C)CCCS(=O)([O-])=O)=O
[*]N1C(C2=CC3=C(C=C2C1=O)C(N(C3=O)C4=CC=C(C=C4)OC5=CC=C(C=C5)[*])=O)=O,CC(COC(C(CC(C(C(C(OC(C)C)=O)C1=CC=CC=C1)C(OCC(OC(C2=CC=CC=C2C(O)=O)=O)C)=O)C3=CC=CC=C3)C(C(OC(C)C[*])=O)C4=CC=CC=C4)=O)OC(C5=CC=CC=C5C(O[*])=O)=O
[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,[*]CC([*])N1CCCC1=O
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,[*][C@H]1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@H]([C@@H](O)[C@H](O[C@H]3[C@H](O)[C@H](O)[C@H](O[C@H]4[C@H](O)[C@H](O)[C@H](O[*])O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2COC(C)=O)O)O[C@@H]1CO
[*]CC(O)COC(CCCCCCCCC(O[*])=O)=O,O=C(C(OC(C=O)OC1C(C(C(OC1C(O[Na])=O)O[*])O)O)C(C=O)[*])O[Na]
O=C(O)C(C[*])CC(CC(C(C(O)=O)[*])C(O)=O)C(O)=O,O=C(O[Na])COCC1OC(OC2C(COCC(O[Na])=O)OC([*])C(O)C2O)C(O)C(O)C1O[*]
O=C(N)C([*])C[*],[H]N(C1=CC=C(C=C1)CC2=CC=C(C=C2)N(C(OCCO[*])=O)[H])C([*])=O
[*]C(OCCCO[*])=O,O=C(C1=CC=C2C=C(C=CC2=C1)C([*])=O)OCCO[*]
O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,O=C(N([*])C([*])=O)CC=C
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]CC(CC([*])C(O)=O)C(NC(C)C)=O
[*]CC[*],O=C(N([*])C([*])=O)CC=C
[*]OC1C(C(C(OC1C)OC2C(C(OC(C2O)COC(C)=O)OC3C(C(C(OC3C(O)=O)OC4C(C(C(OC4CO)O[*])O)O)O)O)OC(C(O)CO)=O)O)O,[*][C@H]1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@H]([C@@H](O)[C@H](O[C@H]3[C@H](O)[C@H](O)[C@H](O[C@H]4[C@H](O)[C@H](O)[C@H](O[*])O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2COC(C)=O)O)O[C@@H]1CO
[*][C@H]1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@H]([C@@H](O)[C@H](O[C@H]3[C@H](O)[C@H](O)[C@H](O[C@H]4[C@H](O)[C@H](O)[C@H](O[*])O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2COC(C)=O)O)O[C@@H]1CO,[*]CC1=CC=C(C(Cl)=C1)C[*]
O=C(C(C[*])[*])N,[*]OC1=C(C([*])=CC=C1C)C
OCC1OC(C(C(C1O)O[*])O)OC2C(C(C(OC2COS(=O)(O)=O)[*])NC(C)=O)O,O=C(C1=CC=C2C=C(C=CC2=C1)C([*])=O)OCCO[*]
CC(CC(C(C(O1)=O)CC1=O)[*])C[*],[*]OC1=C(C([*])=CC=C1C)C
[*]OC1C(C(OC(C1O)OC2C3C(C(OC2CO3)[*])O)CO)O,[*]CC(O)COC(CCCCCCCCC(O[*])=O)=O
[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,OC1C(OC(C(C1O)O)C[*])COCC(OC(C(O)C=O)CO[*])C=O
[*]CC(C1=CC=CC=C1)[*],[*]CC([*])(C)C(OCC[N+](C)(C)CCCS(=O)([O-])=O)=O
[*]CC[*],CC(NC(C([*])C)=O)C(NC(C)C(NC(C)C(N[*])=O)=O)=O
[*]C(C1=CC=CC=C1)CC2C(OC(C2[*])=O)=O,[*]CC(C1=CC=C(C=C1)S(=O)(O[Na])=O)[*]
[*]CCCC(C1C([*])C2CC1C/C2=C/C)C,[*]C(C(OC(CO[*])=O)C)=O
[*]CC(C(OCC)=O)[*],[*]OC1OC(CO)C(O)C(OC2OC(C(NC(CS)C(OC)=O)=O)C(OC[*])C(O)C2O)C1NC(C)=O
CC(NC1C([C@@H](C(O[C@H]1O[*])CO)O[C@@H]2OC([C@H]([C@@H](C2NC(C)=O)O)[*])CO)O)=O,OC1C(O[*])C(NC(C)=O)C(OC2C(O)C(O)C([*])OC2C(O)=O)OC1COC(C(C)=C)=O
[*]NC(C(O)=O)CCC([*])=O,[*]NC(CCCCNC(C(C)=C)=O)C(N1CCCC1C(NCC(N2CC(O)CC2C(NC(COC(C(C)=C)=O)C(NCC([*])=O)=O)=O)=O)=O)=O
[*]CC=CCCC(C#N)[*],[*]C1=CC=C([*])N1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,[*]OCCCCOC(CCC([*])=O)=O
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]CC(C)(C(OCCO)=O)[*]
O=C(O)C([*])C[*],[*]CC(C(CCC)=O)([*])C
[*]O[C@H](C)CC([*])=O,[*]C/C=C/CCC(C/C=C\C[*])C=C
O=C(O)C(C[*])CC(CC(C(C(O)=O)[*])C(O)=O)C(O)=O,CC(O[*])CC([*])=O
[*]CCCCO[*],COCC1OC(OC2C(CO)OC(O[*])C(OC)C2OC)C(OC)C(O)C1O[*]
O=C(N)C([*])C[*],[*]C(C=C1)=CC=C1S[*]
OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O,[*]OC(C(C1O)O)OC(COC)C1OC(OC(C(C2O)OC3OC(C(C(C3OC)O)OC4OC(C(C(C4OC)O)[*])COC)CO)COC)C2OCC(OC)C
[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,[*]NC(CCCCNC(C(C)=C)=O)C(N1CCCC1C(NCC(N2CC(O)CC2C(NC(COC(C(C)=C)=O)C(NCC([*])=O)=O)=O)=O)=O)=O
[*]N1C(C2=CC3=C(C=C2C1=O)C(N(C3=O)C4=CC=C(C=C4)OC5=CC=C(C=C5)[*])=O)=O,[*]CC(C1=CC=C(C=C1)S(=O)(O[Na])=O)[*]
[*]C(C)(C(OCCN(C)C)=O)C[*],OCC(OCC(COCC(CO[*])O)O)COCC(OCC(COCC(CO)O)O)COCC(COCC(CO[*])O)O
[*]C(CCCCCO[*])=O,O=C([*])CCCCC(NCCCCN[*])=O
[*]OC1C(C(C(OC1C)OC2C(C(OC(C2O)COC(C)=O)OC3C(C(C(OC3C(O)=O)OC4C(C(C(OC4CO)O[*])O)O)O)O)OC(C(O)CO)=O)O)O,[*]C/C=C\CCC(C=C)[*]
[*]CC([*])N1CCCC1=O,[*]CCC1C([*])C2CCC1C2
[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,[H]N(C1=CC=C(C=C1)CC2=CC=C(C=C2)N(C(OCCO[*])=O)[H])C([*])=O
OC1=C(C=CC=C1CC2=CC=CC([*])=C2O)CC3=CC=CC([*])=C3O,[*]CCCCOCCCCOCCCCOCCCCO[*]
C[Si](O[*])(C)[*],[*]C(N[*])=O
O=C1CCCN1C([*])C[*],OC1C(O[*])C(C(O[Ca]O2)=O)OC(OC3C(O)C(O)C(OC4C(C(O[Ca]O5)=O)OC(OC6C(O)C(O)C(OC7C(C(O[Ca]O8)=O)OC(OC9C(O)C(O)C([*])OC9C8=O)C(O)C7O)OC6C5=O)C(O)C4O)OC3C2=O)C1O
[*]C(C)C[*],[*]C(CCCCCO[*])=O
O=C(O)C([*])C[*],[*]/C=C\CC/C=C\CC(CC([*])C1=CC=CC=C1)C2=CC=CC=C2
[*]CC([*])(C)C(OCC[N+](C)(C)CCCS(=O)([O-])=O)=O,CC(O[*])CC([*])=O
OC1C(OC(C(C1O)O)[*])CO[*],[*]CC([*])(C)C(OCC[N+](C)(C)CCCS(=O)([O-])=O)=O
O=C1CCCN1C([*])C[*],CC(CC(C(C(O1)=O)CC1=O)[*])C[*]
O=C(C1=CC=C(C=C1)C([*])=O)NC2=CC=C(C=C2)N[*],CC(NC1C(OC(C(C1OC2OC(C(C(C2OCC(COC(C(C)=C)=O)O)O)O[*])C([O-])=O)O)O)O[*])=O
[*]OCCCOC(C1=CC=C(C([*])=O)C=C1)=O,[*]C(C1=CC=CC=C1)CC2C(OC(C2[*])=O)=O
O=C([*])C1=CC=C(C=C1)OC2=CC=C(C=C2)OC3=CC=C(C=C3)[*],O=C1C([*])C(CC[*])C(O1)=O
[*]C/C=C(C[*])\Cl,[*]CC(O)COC(CCCCCCCCC(O[*])=O)=O
[*]C1=CC=C([*])N1,[*]OC1=C(C([*])=CC=C1C)C
[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,[*]C(C(OC(O[*])C=O)CO)C=O
OC1C(OC(C(C1O)O)[*])CO[*],[*]OC1OC(CO)C(O)C(OC2OC(C(NC(CS)C(OC)=O)=O)C(OC[*])C(O)C2O)C1NC(C)=O
O=C(O)C([*])C[*],CC(C=C([*])C=C1C)=C1O[*]
[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COC(C)=O)OC1COC(C)=O,[*]C1C(C(C(OC1C(O[Ca]OC2=O)=O)OC3C2OC(O[*])C(O)C3O)O)O
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]CC(C1=CC=C(C=C1)S(=O)(O[Na])=O)[*]
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,CC(O[*])CC([*])=O
O=C1CCCN1C([*])C[*],[*]C(C)C(OCC(O[*])=O)=O
[*]O[C@H](C)CC([*])=O,[*]C(C1=CC=C(C(NC2=CC=C(N[*])C=C2)=O)C=C1)=O
[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],[*]C/C=C(C[*])\Cl
[*]CC(OC(O[*])=O)C,OC(C([*])C[*])=O
[*]N1C(C2=CC3=C(C=C2C1=O)C(N(C3=O)C4=CC=C(C=C4)OC5=CC=C(C=C5)[*])=O)=O,[*]CCCC(C(O)=O)[*]
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,O=C(O[*])CCCCCCCCCCN[*]
[*]C(C(OC(CO[*])=O)C)=O,OC(C([*])C[*])=O
[*]C(F)(C(F)([*])F)F,O=C1C([*])C(CC[*])C(O1)=O
O=S(C(C=C1)=CC=C1OC(C=C2)=CC=C2C(C)(C)C(C=C3)=CC=C3O[*])(C4=CC=C([*])C=C4)=O,[*]C(N[*])=O
O=C(O)C([*])C[*],[*]C(C(OC1O[*])COC(C)=O)C(O)C1NC(C)=O
[*]C(CCCCC(OCCCCO[*])=O)=O,OCC(OCC(COCC(CO[*])O)O)COCC(OCC(COCC(CO)O)O)COCC(COCC(CO[*])O)O
[*]CC(C)(C(OCCO)=O)[*],O=C1C([*])C(CC[*])C(O1)=O
[*]OCCCCOC(CCC([*])=O)=O,CC(NC1C([C@@H](C(O[C@H]1O[*])CO)O[C@@H]2OC([C@H]([C@@H](C2NC(C)=O)O)[*])CO)O)=O
O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],[*]C(F)(C(F)([*])F)F
[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O
[*]CC[*],OC1C(OC(C(C1O)O)[*])CO[*]
[*]C(C(OC1O[*])COC(C)=O)C(O)C1NC(C)=O,[*]CC([*])(C)C(OCC[N+](C)(C)CCCS(=O)([O-])=O)=O
[*]NC(C(O)=O)CCC([*])=O,[*]OCCCCOC(CCC([*])=O)=O
OC1=C(C=CC=C1CC2=CC=CC([*])=C2O)CC3=CC=CC([*])=C3O,CC(NC1C([C@@H](C(O[C@H]1O[*])CO)O[C@@H]2OC([C@H]([C@@H](C2NC(C)=O)O)[*])CO)O)=O
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]CNCC1=CC=CC([*])=C1O
[*]CC[*],O=C(C(OC(C=O)OC1C(C(C(OC1C(O[Na])=O)O[*])O)O)C(C=O)[*])O[Na]
[*]NC(C(O)=O)CCC([*])=O,O=C(O[*])CCCCCCCCCCN[*]
[*]OCC[*],[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N
[*]CC(O)COC(CCCCCCCCC(O[*])=O)=O,OCC(OCC(COCC(CO[*])O)O)COCC(OCC(COCC(CO)O)O)COCC(COCC(CO[*])O)O
[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*]
[*]CC(C)(C(OCCO)=O)[*],OC(C(OC(C1O)CO)C[*])C1O[*]
[*]CC[*],[*]CCN[*]
[*]OC(C(C1O)O)OC(COC)C1OC(OC(C(C2O)OC3OC(C(C(C3OC)O)OC4OC(C(C(C4OC)O)[*])COC)CO)COC)C2OCC(OC)C,[*]CC(C1=CC=C(C=C1)S(=O)([O-])=O)[*]
C/C(C[*])=C/C[*],[*]C1C(C(C(OC1C(O[Ca]OC2=O)=O)OC3C2OC(O[*])C(O)C3O)O)O
[*]NC(CCC([*])=O)C(O)=O,[*][C@H]1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@H]([C@@H](O)[C@H](O[C@H]3[C@H](O)[C@H](O)[C@H](O[C@H]4[C@H](O)[C@H](O)[C@H](O[*])O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2COC(C)=O)O)O[C@@H]1CO
[*]CC(C(OCC)=O)[*],[*]CC(O)COC1=CC=C(C(C)(C2=CC=C(O[*])C=C2)C)C=C1
C[Si](O[*])(C)[*],[*]CC(O)COC1=CC=C(C(C)(C2=CC=C(O[*])C=C2)C)C=C1
[*]OCCCCOC(CCC([*])=O)=O,OCC1OC(C(C(C1O[*])O)NC(C)=O)OC2C(O)C(C(OC2CO)[*])NC(C)=O
OC(C(C1OC2OC(C(C(C2O)O)OC3OC(C(C(C3O)O)O)COC4OC(C(C(C4O)O)OC5OC(C(C(C5O)O)OC6OC(C(C(C6O)O[*])O)C)CO)CO)CO)O[*])COC1CO,[*][C@H]1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@H]([C@@H](O)[C@H](O[C@H]3[C@H](O)[C@H](O)[C@H](O[C@H]4[C@H](O)[C@H](O)[C@H](O[*])O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2COC(C)=O)O)O[C@@H]1CO
[*]CC(C#N)[*],[*]C/C=C/CCC(C/C=C\C[*])C=C
[*]CCCCOCCCCOCCCCOCCCCO[*],[*]C1=C2C(OCCO2)=C([*])S1
CC(NC(C([*])C)=O)C(NC(C)C(NC(C)C(N[*])=O)=O)=O,[*]C/C=C\CCC(C=C)[*]
[*]OCCCOC(C1=CC=C(C([*])=O)C=C1)=O,OC(C(OC(C1O)CO)C[*])C1O[*]
[*]C(C)C(OCC(O[*])=O)=O,[*]CCCC(CCCCCC)[*]
[*]CC([*])N1CCCC1=O,O=C(O[*])CCCCCCCCCCN[*]
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O[*])CO)CO)CO,O=S(C(C=C1)=CC=C1OC(C=C2)=CC=C2C(C)(C)C(C=C3)=CC=C3O[*])(C4=CC=C([*])C=C4)=O
[*]C(OCCCO[*])=O,CC(COC(C(CC(C(C(C(OC(C)C)=O)C1=CC=CC=C1)C(OCC(OC(C2=CC=CC=C2C(O)=O)=O)C)=O)C3=CC=CC=C3)C(C(OC(C)C[*])=O)C4=CC=CC=C4)=O)OC(C5=CC=CC=C5C(O[*])=O)=O
COCC1OC(OC2C(CO)OC(O[*])C(OC)C2OC)C(OC)C(O)C1O[*],[*]CCCC(C(O)=O)[*]
OCC1OC(C(C(C1O[*])O)O)[*],OCC(OCC(COCC(CO[*])O)O)COCC(OCC(COCC(CO)O)O)COCC(COCC(CO[*])O)O
[*]C1=C2C(OCCO2)=C([*])S1,CC(NC1C(OC(C(C1OC2OC(C(C(C2OCC(COC(C(C)=C)=O)O)O)O[*])C([O-])=O)O)O)O[*])=O
O=C(O[*])CCCCCCCCCCN[*],[*]CC1=CC=C(C(Cl)=C1)C[*]
O=C([*])C(C)O[*],O=C(C(C[*])[*])N
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O[*])CO)CO)CO,[*][C@H]1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@H]([C@@H](O)[C@H](O[C@H]3[C@H](O)[C@H](O)[C@H](O[C@H]4[C@H](O)[C@H](O)[C@H](O[*])O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2COC(C)=O)O)O[C@@H]1CO
[*]OCC[*],C/C(C[*])=C/C[*]
[*]C1=NC2=CC3=C(C=C2O1)OC(C4=CC=C(C=C4)[*])=N3,O=C(N([*])C([*])=O)CC=C
[*]OC(CC(OC(CC([*])=O)CC)=O)C,[*]CCCCO[*]
[*]C(CCCCC(OCCCCO[*])=O)=O,[*]C(C(CCCCN[*])N)=O
[*]C1=CC=C([*])N1,[*]CC(C1=CC=C(C=C1)S(=O)(O[Na])=O)[*]
COC(C(C[*])([*])C)=O,[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COCCO)OC1COCCO
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,C[Si](O[*])(C)[*]
C[Si](O[*])(C)[*],[*]CC(C(OCC)=O)[*]
[*]NCCCCCCCCCCCC([*])=O,[*]NC(CCC([*])=O)C(O)=O
[*]OC(C(C1O)O)OC(COC)C1OC(OC(C(C2O)OC3OC(C(C(C3OC)O)OC4OC(C(C(C4OC)O)[*])COC)CO)COC)C2OCC(OC)C,[*]C(C(OC(O[*])C=O)CO)C=O
C[Si](C)(C[*])O[*],CC(O[*])CC([*])=O
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,OC1=C(C=CC=C1CC2=CC=CC([*])=C2O)CC3=CC=CC([*])=C3O
OCC1OC(C(C(C1O[*])O)NC(C)=O)OC2C(O)C(C(OC2CO)[*])NC(C)=O,O=C(O)C(C[*])CC(CC(C(C(O)=O)[*])C(O)=O)C(O)=O
[H]N(C1=CC=C(C=C1)CC2=CC=C(C=C2)N(C(OCCO[*])=O)[H])C([*])=O,O=C(O)C(C[*])CC(CC(C(C(O)=O)[*])C(O)=O)C(O)=O
COC(C(C[*])([*])C)=O,O=C(C(OC(C=O)OC1C(C(C(OC1C(O[Na])=O)O[*])O)O)C(C=O)[*])O[Na]
[*]CC1=CC=C(C(Cl)=C1)C[*],OC1C(O[*])C(NC(C)=O)C(OC2C(O)C(O)C([*])OC2C(O)=O)OC1COC(C(C)=C)=O
[*]C([H])([H])C(O)([H])[*],OC1C(C(OC(C1OC2C(C(C(C(O2)CO)CO[*])O)O)COC3C(C(C(C(O3)CO)O)O)O)C[*])O
[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,[*]N1C(C2=CC3=C(C=C2C1=O)C(N(C3=O)C4=CC=C(C=C4)OC5=CC=C(C=C5)[*])=O)=O
OC(C([*])C[*])=O,CC(O[*])CC([*])=O
[*]CC([*])Cl,[*]CC1=CC=C(C(Cl)=C1)C[*]
[*]C(C)C(OCC(O[*])=O)=O,[*]CC([*])CC
[*]CC(C1=CC=CC=C1)[*],[*]NCCCCCCCCCCCC([*])=O
[*]OCC[*],[*]CC1=CC=C(C(Cl)=C1)C[*]
[*]C1=CC(C2=NC3=CC(C4=CC=C5N=C([*])NC5=C4)=CC=C3N2)=CC=C1,[*]CCC1C([*])C2CCC1C2
O=C1C([*])C(CC[*])C(O1)=O,[*]NC(CCC([*])=O)C(O)=O
[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,[*]C/C=C/CCC(C/C=C\C[*])C=C
O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,[*]C(C=C1)=CC=C1S[*]
CC(NC(C([*])C)=O)C(NC(C)C(NC(C)C(N[*])=O)=O)=O,[*]CCCCOCCCCOCCCCOCCCCO[*]
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O[*])CO)CO)CO,[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COCCO)OC1COCCO
O=C1C([*])C(CC[*])C(O1)=O,[*]CNCC1=CC=CC([*])=C1O
